Ajax,2,1,1,0,1,1
;,9,1,0,0,4,4
without,5,1,0,0,25,43
injured,3,1,0,0,6,6
defenders,2,1,0,0,28,34
Marcio,2,1,1,0,20,184
Santos,2,1,1,0,12,143
and,10,1,0,0,9,10
Winston,2,1,1,0,25,7
Bogarde,2,1,1,0,61,74
and,10,1,0,0,9,10
strikers,2,1,0,0,23,34
Jari,2,1,1,0,114,1
Litmanen,2,1,1,0,86,26
and,10,1,0,0,9,10
Marc,2,1,1,0,20,1
Overmars,2,1,1,0,110,34
;,9,1,0,0,4,4
then,4,1,0,0,3,26
stepped,1,1,0,0,23,6
up,10,1,0,0,131,68
the,7,1,0,0,3,3
pace,2,1,0,0,41,33
and,10,1,0,0,9,10
looked,1,1,0,0,59,6
certain,3,1,0,0,122,9
to,10,1,0,0,7,12
equalise,1,1,0,0,1,48
.,9,1,0,0,5,5
