San,2,1,1,0,12,15
Francisco,2,1,1,0,29,147
Giants,2,1,1,0,159,29
All-Star,2,1,1,0,55,55
left,1,1,0,0,48,165
fielder,2,1,0,0,39,8
Barry,2,1,1,0,46,53
Bonds,2,1,1,0,61,70
did,1,1,0,0,54,27
not,4,1,0,0,40,64
appear,1,1,0,0,161,55
in,5,1,0,0,6,9
Sunday,2,1,1,0,60,24
's,10,1,0,0,32,35
7-2,8,1,0,0,182,154
victory,2,1,0,0,103,53
over,5,1,0,0,110,8
the,7,1,0,0,3,3
Montreal,2,1,1,0,37,23
Expos,2,1,1,0,89,143
;,9,1,0,0,4,4
ending,1,1,0,0,92,11
his,6,1,0,0,51,31
consecutive,3,1,0,0,11,41
games,2,1,0,0,98,14
streak,2,1,0,0,23,195
.,9,1,0,0,5,5
