Pollock,2,1,1,0,43,82
;,9,1,0,0,4,4
who,6,1,0,0,35,90
returns,1,1,0,0,15,40
home,2,1,0,0,65,47
on,5,1,0,0,16,7
Tuesday,2,1,1,0,137,24
for,5,1,0,0,18,30
an,7,1,0,0,9,15
ankle,2,1,0,0,9,39
operation,2,1,0,0,117,7
;,9,1,0,0,4,4
took,1,1,0,0,7,188
the,7,1,0,0,3,3
last,3,1,0,0,57,19
three,8,1,0,0,3,88
wickets,2,1,0,0,25,29
in,5,1,0,0,6,9
nine,8,1,0,0,145,51
balls,2,1,0,0,46,66
as,5,1,0,0,66,21
Worcestershire,2,1,1,0,49,22
were,1,1,0,0,27,22
dismissed,1,1,0,0,54,6
for,5,1,0,0,18,30
154,8,1,0,0,125,1
.,9,1,0,0,5,5
