Provision,2,1,1,0,24,7
of,5,1,0,0,8,13
overland,1,1,0,0,110,10
transport,2,1,0,0,67,67
services,2,1,0,0,22,14
for,5,1,0,0,18,30
material,2,1,0,0,20,23
and,10,1,0,0,9,10
equipment,2,1,0,0,1,25
for,5,1,0,0,18,30
European,2,1,1,0,175,15
Commission,2,1,1,0,11,7
delegations,1,1,0,0,28,40
in,5,1,0,0,6,9
European,2,1,1,0,175,15
Third,2,1,1,0,3,76
Countries,2,1,1,0,11,14
and,10,1,0,0,9,10
in,5,1,0,0,6,9
the,7,1,0,0,3,3
New,2,1,1,0,36,73
Independent,2,1,1,0,6,25
States,2,1,1,0,23,14
(,9,1,0,0,13,17
NIS,2,1,1,1,145,31
),9,1,0,0,14,18
Contract,2,1,1,0,11,100
notice,2,1,0,0,40,33
No,7,1,1,0,40,117
TRA,2,1,1,1,67,121
/,10,1,0,0,168,132
96,8,1,0,0,1,144
/,10,1,0,0,168,132
003,8,1,0,0,1,1
/,10,1,0,0,168,132
IAE-3,2,1,1,0,1,186
-,9,1,0,0,44,42
Open,2,1,1,0,117,26
procedure,2,1,0,0,24,22
(,9,1,0,0,13,17
96,8,1,0,0,1,144
/,10,1,0,0,168,132
C,2,1,1,1,1,1
251/08,8,1,0,0,187,1
),9,1,0,0,14,18
