But,10,1,1,0,58,43
the,7,1,0,0,3,3
official,2,1,0,0,8,23
;,9,1,0,0,4,4
Aryeh,2,1,1,0,53,1
Shumer,2,1,1,0,63,8
;,9,1,0,0,4,4
said,1,1,0,0,12,27
it,6,1,0,0,47,46
was,1,1,0,0,26,21
only,4,1,0,0,16,36
fitting,1,1,0,0,39,11
that,5,1,0,0,3,20
Weizman,2,1,1,0,27,15
and,10,1,0,0,9,10
Arafat,2,1,1,0,53,20
should,10,1,0,0,63,37
talk,1,1,0,0,78,1
after,5,1,0,0,79,8
the,7,1,0,0,3,3
Palestinian,3,1,1,0,41,15
leader,2,1,0,0,48,8
sent,1,1,0,0,22,25
the,7,1,0,0,3,3
Israeli,3,1,1,0,56,167
president,2,1,0,0,24,25
a,7,1,0,0,10,16
letter,2,1,0,0,48,8
which,7,1,0,0,35,44
Yedioth,2,1,1,0,94,32
Ahronoth,2,1,1,0,1,32
reported,1,1,0,0,15,6
contained,1,1,0,0,11,6
an,7,1,0,0,9,15
emotional,3,1,0,0,196,23
appeal,2,1,0,0,161,23
to,10,1,0,0,7,12
save,1,1,0,0,12,41
the,7,1,0,0,3,3
peace,2,1,0,0,52,33
proces,1,1,0,0,24,14
.,9,1,0,0,5,5
