National,2,1,1,0,102,23
coach,2,1,0,0,11,44
Bob,2,1,1,0,61,1
Woolmer,2,1,1,0,49,8
said,1,1,0,0,12,27
Gibbs,2,1,1,0,159,1
;,9,1,0,0,4,4
22,8,1,0,0,174,126
;,9,1,0,0,4,4
had,1,1,0,0,19,52
been,1,1,0,0,17,26
rewarded,1,1,0,0,15,6
for,5,1,0,0,18,30
a,7,1,0,0,10,16
tremendous,3,1,0,0,67,94
tour,2,1,0,0,7,101
of,5,1,0,0,8,13
England,2,1,1,0,92,10
with,5,1,0,0,25,32
the,7,1,0,0,3,3
South,3,1,1,0,50,32
African,3,1,1,0,79,15
A,7,1,1,1,10,16
team,2,1,0,0,77,89
earlier,4,1,0,0,119,8
this,7,1,0,0,3,31
year,2,1,0,0,94,55
.,9,1,0,0,5,5
