Gunmen,2,1,1,0,148,26
seized,1,1,0,0,22,6
Penrose,2,1,1,0,52,48
;,9,1,0,0,4,4
who,6,1,0,0,35,90
comes,1,1,0,0,11,14
from,5,1,0,0,29,54
Swerford,2,1,1,0,167,76
in,5,1,0,0,6,9
southern,3,1,0,0,50,102
England,2,1,1,0,92,10
;,9,1,0,0,4,4
Frenchman,2,1,1,0,29,15
Frederic,2,1,1,0,29,71
Malardeau,2,1,1,0,20,1
and,10,1,0,0,9,10
six,8,1,0,0,73,153
other,3,1,0,0,178,8
hostages,2,1,0,0,65,14
from,5,1,0,0,29,54
their,6,1,0,0,3,84
car,2,1,0,0,38,55
in,5,1,0,0,6,9
Grozny,2,1,1,0,81,79
;,9,1,0,0,4,4
the,7,1,0,0,3,3
capital,2,1,0,0,38,23
of,5,1,0,0,8,13
Chechnya,2,1,1,0,42,185
;,9,1,0,0,4,4
on,5,1,0,0,16,7
July,2,1,1,0,105,36
27,8,1,0,0,1,178
.,9,1,0,0,5,5
